Absolute Page,Invoice Number,Invoice Page,Billing Code
1,44207,1,AB1
2,44208,1,AJ1
3,44208,2,AJ1
4,44209,1,AK1
5,44210,1,AQE
6,44211,1,BCE
7,44212,1,BUT
8,44212,2,BUT
9,44212,3,BUT
10,44212,4,BUT
11,44212,5,BUT
12,44212,6,BUT
13,44213,1,BW1
14,44214,1,CAF
15,44215,1,CH1
16,44216,1,DBE
17,44217,1,DK1
18,44218,1,DN1
19,44219,1,DSH
20,44219,2,DSH
21,44219,3,DSH
22,44219,4,DSH
23,44220,1,DU1
24,44221,1,DVC
25,44222,1,EP1
26,44223,1,EX1
27,44223,2,EX1
28,44223,3,EX1
29,44223,4,EX1
30,44223,5,EX1
31,44223,6,EX1
32,44223,7,EX1
33,44223,8,EX1
34,44224,1,FE1
35,44225,1,HG1
36,44225,2,HG1
37,44226,1,HUA
38,44226,2,HUA
39,44227,1,ILE
40,44228,1,JR1
41,44228,2,JR1
42,44229,1,JTP
43,44230,1,JY1
44,44231,1,KI1
45,44232,1,LOA
46,44233,1,LSD
47,44233,2,LSD
48,44233,3,LSD
49,44234,1,MH1
50,44235,1,MSE
51,44235,2,MSE
52,44236,1,OM1
53,44237,1,PA1
54,44238,1,PK1
55,44239,1,PO1
56,44240,1,PU1
57,44241,1,RD1
58,44242,1,RV1
59,44243,1,SD1
60,44244,1,SN1
61,44245,1,ST1
62,44246,1,SY1
63,44247,1,TH1
64,44248,1,US1
65,44248,2,US1
66,44249,1,VB1
67,44250,1,YJ1
68,44251,1,ZER
